input,output
zoom hota direct,he ekda check kar no issues
mala ekda code send kar na plz,"zoop tu pan function onFormSubmit(e) { const responses = e.response; const usercharesponse = responses.getItemResponses(); Logger.log(""user-response: "" + JSON.stringify(usercharesponse)); let userChaResponse = []; usercharesponse.forEach((item) => { const response = item.getResponse(); userChaResponse.push(response); Logger.log(response); }); const careerData = { ""Your Name"": userChaResponse[0], ""Grade/Standard"": userChaResponse[1], ""Marks in my last exam subj wise"": userChaResponse[2], ""Subjects/Stream you're currently studying"": userChaResponse[3], ""Favourite Subjects (and why)"": `My favourite Subjects is ${userChaResponse[4]} Because ${userChaResponse[5]}`, ""Hobbies/Activities you enjoy outside of school"": userChaResponse[6], ""What skills do you believe you're good at?"": userChaResponse[7], ""Which of the following areas excite you the most?"": userChaResponse[8], ""What are you most curious about in the world around you"": userChaResponse[9], ""Define any one problem in the world that u are most concerned about which you think given opportunity you'll fix that"": userChaResponse[10], ""What kind of work environment do you see yourself in?"": userChaResponse[11], ""Any specific career paths you're currently considering"": userChaResponse[12], ""Your long-term goals (if any) or dreams for the future"": userChaResponse[13] }; const prompt = `Considering the following responses, provide a summarized career option for ${userChaResponse[2]}. Respond like a professional career coach. Q&A: ${JSON.stringify(careerData)} Consider industry availability in India. Also, suggest best institutes for this career near my location or in India, including entrance tests and eligibility structures.`; Logger.log(prompt); function generateContentWithGemini(prompt) { const apiKey = ""AIzaSyAvOF_3VkQLvSBHw_BfPW121Mewyn1zQE8""; // Replace with your actual API key const apiUrl = `https://generativelanguage.googleapis.com/v1/models/gemini-1.5-flash:generateContent?key=${apiKey}`; const payload = { contents: [{ parts: [{ text: prompt }] }] }; const options = { method: ""post"", contentType: ""application/json"", payload: JSON.stringify(payload), }; try { const response = UrlFetchApp.fetch(apiUrl, options); const responseData = JSON.parse(response.getContentText()); Logger.log(""API Response: "" + JSON.stringify(responseData)); return responseData; } catch (error) { Logger.log(""Error calling Gemini API: "" + error.toString()); return null; } } const result = generateContentWithGemini(prompt); if (result) { const generatedText = result?.candidates?.[0]?.content?.parts?.[0]?.text || """"; Logger.log(""Generated Text: "" + generatedText); if (generatedText) { try { // Step 1: Create PDF content directly const pdfContent = ` Career Guidance Report ----------------------- Generated by Our Career Guidance System ${generatedText} `; // Step 2: Convert the content to a PDF Blob const pdfBlob = Utilities.newBlob(pdfContent, ""application/pdf"", ""Career_Guidance_Report.pdf""); // Step 3: Access respondent's email address const emailAddress = responses.getRespondentEmail(); Logger.log(""Respondent Email: "" + emailAddress); if (emailAddress) { // Step 4: Send the PDF as an email attachment MailApp.sendEmail({ to: emailAddress, subject: ""Your Career Guidance Report"", body: ""Dear respondent,\n\nPlease find attached your personalized career guidance report.\n\nBest regards,\nCareer Guidance Team"", attachments: [pdfBlob], // Attach the generated PDF content }); Logger.log(`Email successfully sent to ${emailAddress}`); } else { Logger.log(""No email address found for the respondent.""); } } catch (error) { Logger.log(""Error generating or sending the PDF: "" + error.toString()); } } else { Logger.log(""No generated content available for the PDF.""); } } else { Logger.log(""Failed to generate content from the API.""); } }"
thodya velat 🫡,most probably it is how we are sending pdf or making pdf since data is perfet or the thing we are using to make pdf is just bad
I think the problem is in utilities.newblob,yaa search for it
maybe some changes there... on it,function search karun bagg Success. Changed the pdf to doc link and it works
noice form bharu ka??,are email madhech takyacha ahe ani prompt better karava lagel
haa me pan tech vichar karat hoto tyala output pan specify karuya,Bhar ekda form Ani mala pathav Email
👍🏻,Kai jala?
kela just,Check kar email Mala pun pathav email
"Dear respondent, Please find below your personalized career guidance report generated by our system: Career Guidance Report Generated by Our Career Guidance System Shivam, Based on your responses, a strong career path for you in Science, considering your interests and India's job market, would be **Software Development/Data Science within a Startup environment**. Your love for math (motivated by gaming), coupled with your skills in problem-solving, creativity, and interest in the latest technologies, aligns perfectly with the demands of these fields.  The “easy information availability” curiosity points towards a knack for learning and adapting to new technologies – crucial for success in software development and data science. Your desire to improve the science and technology field further reinforces this direction. **Career Path Breakdown:** * **Software Development:**  This involves designing, coding, testing, and maintaining software applications.  The startup environment provides a dynamic and fast-paced work setting, allowing for quick learning and significant contributions. * **Data Science:** This field focuses on extracting insights from large datasets using statistical techniques and machine learning algorithms.  Your problem-solving skills and interest in technology are highly relevant here.  Many startups heavily rely on data-driven decisions, creating high demand for data scientists. **Best Institutes in India (general suggestion - requires knowing your location for specific recommendations):** To pursue these careers, consider these prestigious institutes (Note:  Location-specific recommendations require your city/state): * **Indian Institutes of Technology (IITs):**  Offer excellent B.Tech/M.Tech programs in Computer Science and related fields.  Entrance exams are the highly competitive JEE Advanced.  Eligibility usually involves passing the JEE Main first. * **Indian Institutes of Information Technology (IIITs):**  Provide strong programs in computer science and related areas. Entrance exams vary by institute, some using JEE Main scores, others having their own entrance tests. * **National Institutes of Technology (NITs):**  Also offer good programs in computer science and related disciplines.  JEE Main is the primary entrance exam. * **Other Reputable Universities:**  Numerous private and state universities offer excellent computer science and related programs.  Check their websites for specific admission requirements. **For Data Science specifically:** Several institutes offer specialized Master's programs in Data Science. Look for programs at the IITs, IIITs, and other top universities.  These might require a bachelor's degree in a relevant field (computer science, mathematics, statistics) and often involve entrance tests or interviews. **Entrance Test and Eligibility:** The eligibility criteria and entrance exams will vary by institute and program.  Generally, a strong foundation in mathematics and science in your 12th-grade results is crucial.  Many institutes use entrance examinations like JEE Main (for B.Tech) and GATE (for M.Tech) or specific entrance tests for specialized programs. **Next Steps:** 1. **Research:** Explore the curricula of different institutes and programs to find the best fit for your interests and goals. 2. **Location:**  Provide your location (city and state) so I can provide more specific and relevant recommendations for institutes. 3. **Entrance Exam Preparation:** Start preparing for the relevant entrance exams well in advance. 4. **Networking:**  Attend career fairs and workshops to learn more about the industry and connect with professionals. Remember, this is just a starting point. Further exploration and focused research will help you solidify your career path.  Good luck! Best regards, JKB Team tula forward hot nahi ahe Ani ha, email send kela tar tughya mail yeto ahe ownership change kela tar change hoil ig","ho mostly Dear respondent, Please find below your personalized career guidance report generated by our system: Career Guidance Report Generated by Our Career Guidance System Amey, Based on your responses, your strong academic performance in science (especially with a near-perfect score!), coupled with your passion for space and interest in asteroids, points towards a career in *Aerospace Engineering* or a related field like *Astrophysics*.  Your stated interest in creativity and problem-solving aligns well with the innovative nature of these disciplines.  The desire for an outdoor work environment is less common in pure astrophysics research, but applicable to certain aerospace engineering roles.  While your mention of ""money"" as a career path consideration is understandable, it's crucial to focus on aligning your passion with your profession.  High earning potential certainly exists within these fields, but it shouldn't be the sole driving factor. Considering the Indian context, there's significant growth in the aerospace and space exploration sectors.  However, it's a competitive field. *Career Options & Institutes:* 1. *Aerospace Engineering:* This is a broader field encompassing design, development, testing, and production of aircraft, spacecraft, missiles, and related systems. * *Institutes (India):*  Indian Institute of Technology (IITs) – Bombay, Delhi, Kanpur, Kharagpur, Madras, etc., Indian Institute of Space Science and Technology (IIST), Thiruvananthapuram, and other NITs (National Institutes of Technology) offer excellent Aerospace Engineering programs. * *Entrance Exams:* JEE Advanced (for IITs), JEE Main (for NITs and other participating institutes), and the IISc entrance exam for IISc Bangalore (though their specialization might not be strictly aerospace). Eligibility is typically 10+2 with Physics, Chemistry, and Mathematics. 2. *Astrophysics:* This field focuses on the physical properties and evolution of celestial objects and the universe.  This requires very strong mathematical and physics foundations. * *Institutes (India):*  IITs (especially those with strong physics departments), IISc Bangalore, and the Tata Institute of Fundamental Research (TIFR) are top choices. * *Entrance Exams:*  Highly competitive entrance examinations vary per institute but usually require a strong background in physics and mathematics. Some institutes offer integrated Ph.D. programs after a bachelor’s degree. *Next Steps:* 1. *Strengthen your foundation:* Focus on Physics and Mathematics in your remaining 12th standard year.  Excel in your board exams. 2. *Research specific areas:* Explore different subfields within aerospace engineering and astrophysics to pinpoint your precise interest (e.g., orbital mechanics, propulsion systems, astroparticle physics, cosmology). 3. *Prepare for entrance exams:* Start early.  Familiarize yourself with the syllabus and exam patterns for your target institutes. Coaching centers can be helpful, but self-study and consistent effort are crucial. 4. *Network:*  Attend workshops, seminars, and webinars related to aerospace and astrophysics to gain insights and connect with professionals. Remember, Amey, your ""money"" aspiration is achievable through dedication and hard work in these high-demand fields.  However, focusing on your genuine passion will make the journey much more rewarding and fulfilling. I advise you to explore both Aerospace Engineering and Astrophysics further, weighing the pros and cons of each based on your evolving interests. Best regards, Career Guidance Team Shivam yachya formatting cha ekda bhagshil ka please? ** ** chya instead it should be bold Readability nahi ahe ekdam"
haa,me tula email pathavla ahe
ha bughto 2 min,Chalel no issue
apan kuthla api ise karto ahe??,"gimini Please provide the following information to receive personalized career suggestions: 1. Your Name: Ans : 2. Grade/Standard (10th or 12th): Ans: Marks in my last exam subj wise Ans: 1) 2) 3) 4) 5) 6) 3. Subjects/Stream you're currently studying: 4. Favourite Subjects (and why): My favourite Subjects is Because 5. Hobbies/Activities you enjoy outside of school: 6. What skills do you believe you're good at? (e.g., communication, problem-solving, creativity, etc.): 7. Which of the following areas excite you the most? (Pick up to 3): Science & Technology Business & Management Medicine & Healthcare Arts & Design Media & Entertainment Law & Government Social Work & Community Service Sports & Fitness Data & Analytics Others (Please specify) 8. What are you most curious about in the world around you ? 9. Define any one problem in the world that u are most concerned about which you think given opportunity you'll fix that. 10. What kind of work environment do you see yourself in? (e.g., Office, outdoors, lab, creative studio, etc.): 11.  Any specific career paths you're currently considering: 12. Your long-term goals (if any) or dreams for the future : Considering all questions and answers above give me a summerised career option for me . Don't confuse me with a lot of options. Tell me, best ones for me . If you need more information, ask follow-up questions. Act like a professional career coach. Do consider industry availability in my country. Where are most career opportunities available for that industry in my country. Best institutes that I should consider for the same preferably near my location,  if not then anywhere in india. What should I prepare based on my current education for the suggested career? Any entrance test I should prepare for suggested career along with relevant website links for it. Eligibility for entrance test and career options. Cut off marks or score of last year for that course admission and how much I should aim to score in my current grade to be eligible for entrance and course."
samor kahitari ahe vat ta na,ye format mathe try karun bhag manje
gemini --?? gemini_____??,ah no idea will have to check the docs AIML attend karacha ahe ajj web nahi
👍🏻 bro mala Atharva Arekar cha number hava ahe ani Akanksha Pandey Satyendra sir chi wife ahe ka??,Sir ranna chya wife cha satyendra sir ranna vichar Atharva Arekar Jkb Junior.vcf (file attached) Ha ahe ka check kar. Sure nahi ahe
👍🏻 thx bro bro apan banglore la pochlya nantar kuthe janar ahe??,Channai
ayooooo khara??,Nahi re. Jar sarve bolle tar metro madhe direct center Kiva ola direct center <This message was edited>
achaaa https://www.google.com/search?q=scrcpy&client=ms-android-oneplus-terr1-rso2&sca_esv=3601aab352553dda&sxsrf=ADLYWIKKLdn8bBSo2TMSgt8fAoZ8fF8myA%3A1735565580110&ei=DKFyZ5KuBuaLnesPgc6g6Ac&oq=scrcpy&gs_lp=EhNtb2JpbGUtZ3dzLXdpei1zZXJwIgZzY3JjcHkyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyChAAGLADGNYEGEcyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigUyDRAAGIAEGLADGEMYigVI0w9QxQ5YxQ5wAXgBkAEAmAEAoAEAqgEAuAEDyAEA-AEBmAIBoAIXmAMAiAYBkAYRkgcBMaAHAA&sclient=mobile-gws-wiz-serp bro mala web dev cha HW che ss send kar na me ghetle le pan save nahi kele T_T,Me pun nahi Ghetla Me memory game ghelto ahe ata
vaaa ata lecture ahe na 5:30 la,Ho
me don min madhe rejoin karto,chalel
me late join karel Robotics madhe ahe,Chalel Me sir ranna sangto
Web ahe na aaj??,message tar nahi ahe. tar join karun pahava lagel
nai ahe ka ML??,Mahit nahi bhaiya cha nahi message nor reply Mahanun me leave kela Ekda sir ranna vicharala lagel
haa,Are ekna. Tumche robotics che sessions kadhe hotat?
mostly weekend madhech hotat pan kadhi kadhi ka kai zala??,Acha chalel. Thanks Nahi re just curious
achaa tula interest ala tar sang shikavto tula 😁,Naki Mala avadel
me ya Saturday la Nerul la janar ahe yetos ka?? tithe karu robotics,Nakore. Fee nahi bharle ane yena barobar nahi vata
me tar asach jato ahe abhyas karayala,Javar ahe ka tula?
nai tevdha nai bro last session mai kya sikhaya tha?? web mai,express routing
yess,null null jkb.poonam@gmail.com jkbjgd123 Tujya purta thek. Shar nako karu
👍🏻 me late join karel internship varun nighto ahe,Chalel join kar
aaj jaicha ahe ka Nerul la??,are ajj GATE che exam ahe majhe 😅 nahi honar jyala
achaa all the best bro,Thank you
bro te CRUD operations on users zalya nantar kai karicha ahe??,sort and search
are ha te rahila 🙆🏻‍♂ ha pan in general nantar kai?? swaraj dada la inform karaicha hota vat ta na??,Deploy karun link share kar
👍🏻,Swaraj dada said to share your hosted website as well as got repo with him for jkb website
👍🏻 ratri karto ata buzy ahe jara,Ho chalel Dada bola ahe udya parva parenta karun pathava
achaa bro te 10 che grp kadhi karaiche??,Join kar main meeting
ha kai timing tharla mugh??,4 la You deleted this message
yup yeto ahes ki nai??,Ho alo Would you be fine if we have a AIML session on Saturday?
"yess, i will be outside at that time but will manage 👍🏻",Ajj 6-9 chalel ka session?
maza robotics cha session ahe,Oh mug 7-10 wala?
7-10 chalel ig mobile battery is dying yo te API val task madhe kuthle kuthle APIs use zale ahet kuthly kuthly pages madhe te sangaicha ahe na zalya nantar swaraj bhaiya la DM karaicha ahe ki grp var taku shakto,Personally pathav
ohk ani he 8 ppl valya grp madhe pan sangaicha ahe ka??,Manje?
te aple grps ahet na <This message was edited> jyan la gheun aplya la ek replica build karicha ahe te,Ho barobar He Kai bolto ahes tu?
kai nai sod ya grp sobat discuss karycha ahe ka??,After mtw
ohk hello aika na mala ML che notes send karshil ka?? aaj che ani Sunday chya lecture che,Group var ahet for Sunday's lecture. Kal sathi me message takla.ahe null null null
charging 2%,Shivam bro kar start Mala nahi vatat ajun koni yeel
haa just a min,Ha
